session_id,sent_at,temperature,humidity,co2_level,light_level,noise_level,occupancy,rating_score,rating
1,2026-04-01 09:00:00,23.7,26.272,749.2,585.2,80,1,3.25,3
1,2026-04-01 09:01:00,23.718000000000004,26.29,760.4,578.4,35,1,2.47,2
1,2026-04-01 09:02:00,23.73,26.23,769.666666666667,572.666666666667,50,1,3.06,3
1,2026-04-01 09:03:00,23.7225,26.125,774.75,493.75,40,1,1.56,2
1,2026-04-01 09:04:00,23.754,26.2,779.0,488.6,50,1,3.97,4
1,2026-04-01 09:05:00,23.76,26.26,790.0,568.666666666667,55,1,2.57,3
1,2026-04-01 09:06:00,23.73,26.29,798.0,536.333333333333,75,1,3.14,3
1,2026-04-01 09:07:00,23.754,26.29,797.0,509.0,50,1,1.39,1
1,2026-04-01 09:08:00,23.754,26.35,803.2,476.0,80,1,3.25,3
1,2026-04-01 09:09:00,23.736,26.39,809.0,510.0,75,1,3.21,3
1,2026-04-01 09:10:00,23.745,26.445,815.25,481.5,35,1,2.84,3
1,2026-04-01 09:11:00,23.7,26.56,824.0,481.8,45,1,3.22,3
1,2026-04-01 09:12:00,23.7,26.6,832.0,475.25,45,1,1.12,1
1,2026-04-01 09:13:00,23.7,26.7,845.333333333333,469.0,45,1,2.11,2
1,2026-04-01 09:14:00,23.7,26.774,852.4,464.0,70,1,3.29,3
1,2026-04-01 09:15:00,23.7,26.89,861.0,464.0,60,1,2.93,3
1,2026-04-01 09:16:00,23.7,26.9725,880.0,455.0,65,1,3.27,3
1,2026-04-01 09:17:00,23.6,26.89,891.0,454.0,40,1,4.05,4
1,2026-04-01 09:18:00,23.64,26.976,897.6,458.0,35,1,3.43,3
1,2026-04-01 09:19:00,23.65,27.05,900.5,464.0,80,1,2.18,2
1,2026-04-01 09:20:00,23.64,27.1,908.8,473.0,45,1,3.51,4
1,2026-04-01 09:21:00,23.6,27.16,918.0,464.0,50,1,3.33,3
1,2026-04-01 09:22:00,23.6,27.236,925.2,498.4,40,1,3.8,4
1,2026-04-01 09:23:00,23.6,27.29,929.4,530.2,75,1,2.21,2
1,2026-04-01 09:24:00,23.6,27.33,936.4,533.6,80,1,1.79,2
1,2026-04-01 09:25:00,23.6,27.34,950.0,524.25,70,1,2.55,3
1,2026-04-01 09:26:00,23.625,27.3925,961.0,498.666666666667,40,1,3.28,3
1,2026-04-01 09:27:00,23.6,27.39,963.0,516.333333333333,55,1,3.48,3
1,2026-04-01 09:28:00,23.6,27.412,958.6,501.2,60,1,3.15,3
1,2026-04-01 09:29:00,23.6,27.5,965.333333333333,522.0,45,1,2.92,3
2,2026-04-01 09:30:00,23.6,27.525,979.25,520.5,55,1,2.51,3
2,2026-04-01 09:31:00,23.6,27.6,978.428571428571,505.2857142857141,75,1,2.5,2
2,2026-04-01 09:32:00,23.6,27.6,983.0,488.333333333333,80,1,1.99,2
2,2026-04-01 09:33:00,23.6,27.54,992.6,512.0,75,1,1.88,2
2,2026-04-01 09:34:00,23.6,27.6,997.2,511.0,40,1,2.73,3
2,2026-04-01 09:35:00,23.6166666666667,27.6333333333333,999.5,501.5,50,1,1.36,1
2,2026-04-01 09:36:00,23.6666666666667,27.7,1001.0,503.666666666667,60,1,2.81,3
2,2026-04-01 09:37:00,23.6,27.7,1009.5,483.166666666667,45,1,2.52,3
2,2026-04-01 09:38:00,23.6,27.7225,1019.0,483.5,60,1,3.17,3
2,2026-04-01 09:39:00,23.6,27.79,1021.0,473.0,35,1,3.0,3
2,2026-04-01 09:40:00,23.6,27.856666666666698,1024.66666666667,470.333333333333,70,1,1.54,2
2,2026-04-01 09:41:00,23.6,27.804285714285697,1030.42857142857,480.142857142857,80,1,2.57,3
2,2026-04-01 09:42:00,23.575,27.79,1026.25,464.0,50,1,1.88,2
2,2026-04-01 09:43:00,23.54,27.81,1028.0,474.4,45,1,1.51,2
