timePeriod,currentTemperature,currentHumidity,currentCO2,currentLight,currentNoise,maxTemp,minTemp,meanTemp,maxHumidity,minHumidity,meanHumidity,maxCO2,minCO2,meanCO2,maxLight,minLight,meanLight,maxNoise,minNoise,meanNoise,rating_score,rating
2026-04-01 09:00:00 to 2026-04-01 09:29:00,23.6,27.5,965.333333333333,522.0,45,23.76,23.6,23.68,27.5,26.125,26.79,965.333333333333,749.2,861.5,585.2,454.0,501.56,80,35,55.67,2.88,3
2026-04-01 09:30:00 to 2026-04-01 09:59:00,23.37,28.39,1090.6,464.0,50,23.6666666666667,23.37,23.52,28.39,27.525,27.92,1090.6,978.428571428571,1037.16,520.5,439.0,470.99,80,35,57.67,1.99,2
2026-04-01 10:00:00 to 2026-04-01 10:29:00,23.15,28.89,1159.5,448.0,40,23.39,23.14,23.26,28.89,28.323333333333306,28.62,1167.33333333333,1086.0,1123.15,475.666666666667,446.0,462.59,80,35,56.67,2.24,2
2026-04-01 10:30:00 to 2026-04-01 10:59:00,22.873333333333303,27.6,1056.4,429.0,80,23.18,22.865,23.0,29.075,27.556,28.17,1176.16666666667,1042.6,1094.9,444.0,429.0,433.86,80,35,57.67,2.24,2
2026-04-01 11:00:00 to 2026-04-01 11:29:00,22.6666666666667,25.6,892.0,429.0,50,22.89,22.6,22.73,27.6,25.575,26.5,1043.6,892.0,961.64,444.0,429.0,436.89,80,35,59.67,2.21,2
2026-04-01 11:30:00 to 2026-04-01 11:59:00,22.525,24.945,822.25,433.0,80,22.65,22.525,22.59,25.55,24.908333333333303,25.14,889.25,812.8,843.93,443.4,425.4,433.93,80,35,53.83,2.54,3
2026-04-01 12:00:00 to 2026-04-01 12:29:00,22.5,24.89,811.0,419.0,50,22.6,22.5,22.55,25.2,24.81,25.02,854.75,811.0,832.34,433.0,419.0,426.71,80,35,55.5,2.37,2
2026-04-01 12:30:00 to 2026-04-01 12:59:00,22.2,24.736,757.0,0.0,55,22.5,22.2,22.35,25.245,24.625,24.84,809.0,757.0,782.0,419.0,0.0,219.6,80,35,54.33,2.13,2
2026-04-01 13:00:00 to 2026-04-01 13:29:00,21.7,24.29,664.75,0.0,55,22.2,21.7,21.94,24.79,24.29,24.54,752.333333333333,664.75,709.05,0.0,0.0,0.0,80,35,56.33,2.4,2
2026-04-01 13:30:00 to 2026-04-01 13:59:00,21.323333333333306,24.0,605.666666666667,0.0,40,21.7,21.323333333333306,21.5,24.29,23.89,24.13,668.0,602.0,631.4,0.0,0.0,0.0,80,35,59.67,2.37,2
2026-04-01 14:00:00 to 2026-04-01 14:29:00,21.1,23.6,553.0,0.0,40,21.39,21.1,21.23,24.0,23.6,23.82,604.5,550.5,578.79,0.0,0.0,0.0,80,35,58.5,2.37,2
2026-04-01 14:30:00 to 2026-04-01 14:59:00,21.1,23.33,524.6,0.0,55,21.1333333333333,21.1,21.1,23.6,23.33,23.48,553.25,519.0,534.62,0.0,0.0,0.0,80,35,56.67,2.27,2
2026-04-01 15:00:00 to 2026-04-01 15:29:00,20.89,23.2,492.5,0.0,40,21.1,20.89,20.97,23.34,23.2,23.27,523.2,492.5,510.82,0.0,0.0,0.0,80,35,62.5,2.46,2
2026-04-01 15:30:00 to 2026-04-01 15:59:00,20.945,22.89,484.0,0.0,70,20.9725,20.89,20.9,23.2,22.89,23.04,501.5,484.0,491.13,0.0,0.0,0.0,80,35,60.83,2.12,2
2026-04-01 16:00:00 to 2026-04-01 16:29:00,20.89,22.7,468.0,0.0,40,20.89,20.856666666666698,20.89,22.9175,22.675,22.82,483.5,468.0,476.62,0.0,0.0,0.0,80,35,57.67,2.28,2
2026-04-01 16:30:00 to 2026-04-01 16:59:00,20.7675,22.5,463.0,0.0,75,20.85,20.7225,20.77,22.73,22.5,22.61,471.666666666667,458.5,466.54,0.0,0.0,0.0,80,35,58.67,2.32,2
2026-04-01 17:00:00 to 2026-04-01 17:29:00,20.772,22.37,455.8,0.0,35,20.772,20.7,20.72,22.52,22.365,22.47,466.0,454.5,460.05,0.0,0.0,0.0,80,35,54.17,2.35,2
2026-04-01 17:30:00 to 2026-04-01 17:59:00,20.7,22.29,450.666666666667,0.0,65,20.7675,20.7,20.71,22.39,22.29,22.34,458.75,449.25,453.57,0.0,0.0,0.0,80,35,57.33,2.34,2
2026-04-01 18:00:00 to 2026-04-01 18:29:00,20.625,22.2225,448.5,0.0,50,20.7,20.625,20.66,22.315,22.22,22.26,457.25,443.0,451.38,0.0,0.0,0.0,80,35,57.67,2.24,2
2026-04-01 18:30:00 to 2026-04-01 18:59:00,20.6,22.2675,451.5,0.0,45,20.6333333333333,20.55,20.59,22.2675,22.2,22.22,455.25,443.75,449.19,0.0,0.0,0.0,80,35,55.5,2.42,2
2026-04-01 19:00:00 to 2026-04-01 19:29:00,20.525,22.2675,452.666666666667,0.0,40,20.6,20.525,20.58,22.29,22.2,22.24,454.0,443.2,449.12,0.0,0.0,0.0,80,35,62.0,2.33,2
2026-04-01 19:30:00 to 2026-04-01 19:59:00,20.6,22.1,446.666666666667,0.0,50,20.6,20.5,20.57,22.29,22.1,22.23,455.0,443.25,450.05,0.0,0.0,0.0,80,35,57.33,2.39,2
2026-04-01 20:00:00 to 2026-04-01 20:29:00,20.575,22.2,443.5,0.0,45,20.6,20.525,20.58,22.2,22.1,22.15,449.0,441.25,444.4,0.0,0.0,0.0,80,35,54.5,2.11,2
2026-04-01 20:30:00 to 2026-04-01 20:59:00,20.5,22.315,442.0,0.0,45,20.6,20.5,20.52,22.315,22.2,22.27,451.0,436.5,442.08,0.0,0.0,0.0,80,35,57.0,2.39,2
