timePeriod,currentTemperature,currentHumidity,currentCO2,currentLight,currentNoise,maxTemp,minTemp,meanTemp,maxHumidity,minHumidity,meanHumidity,maxCO2,minCO2,meanCO2,maxLight,minLight,meanLight,maxNoise,minNoise,meanNoise,rating
2026-04-01 08:49:00 to 2026-04-01 09:19:00,22,58,815,325,56,23,22,22.05,58,53,54.8,848,631,723.55,325,306,316.0,62,43,51.2,4
2026-04-01 10:39:00 to 2026-04-01 11:09:00,26,47,751,799,60,26,26,26.0,48,47,47.3,765,699,728.8,801,782,790.1,69,53,59.7,3
2026-04-02 19:15:00 to 2026-04-02 19:45:00,24,61,1230,630,56,27,24,25.39,61,50,54.39,1230,702,906.32,637,617,627.35,56,36,47.32,2
2026-04-05 02:57:00 to 2026-04-05 03:27:00,19,52,825,597,35,20,19,19.25,53,47,49.86,932,691,794.36,614,595,605.57,54,34,43.75,3
2026-04-05 07:32:00 to 2026-04-05 08:02:00,24,54,1534,658,34,27,23,25.0,71,54,62.26,1534,782,1099.48,674,654,662.35,48,30,37.39,1
2026-04-05 16:10:00 to 2026-04-05 16:40:00,19,54,917,273,44,20,18,18.35,61,54,57.61,1277,861,998.32,293,273,282.55,56,36,46.97,5
2026-04-06 03:44:00 to 2026-04-06 04:14:00,22,61,640,357,49,22,22,22.0,61,58,59.27,640,463,527.67,373,353,363.07,66,48,55.13,5
2026-04-08 13:34:00 to 2026-04-08 14:04:00,25,55,602,737,42,25,25,25.0,55,54,54.2,602,579,589.2,748,730,737.4,62,42,54.4,5
2026-04-08 20:55:00 to 2026-04-08 21:25:00,22,53,564,420,58,23,22,22.19,53,48,50.31,814,472,579.88,426,406,413.92,67,49,56.04,4
2026-04-10 08:19:00 to 2026-04-10 08:49:00,26,60,1324,443,35,26,23,24.42,64,55,58.74,1324,668,889.94,449,429,437.45,51,32,41.23,2
2026-04-11 18:47:00 to 2026-04-11 19:17:00,24,43,661,668,55,25,24,24.06,43,40,41.33,778,554,625.33,672,653,661.89,67,48,56.94,4
2026-04-12 23:25:00 to 2026-04-12 23:55:00,20,47,1216,298,49,21,18,19.58,55,40,47.29,1430,737,993.9,299,279,287.55,53,33,43.52,4
2026-04-14 01:30:00 to 2026-04-14 02:00:00,23,42,524,590,34,23,23,23.0,42,42,42.0,524,524,524.0,590,590,590.0,34,34,34.0,4
2026-04-14 03:44:00 to 2026-04-14 04:14:00,23,52,735,487,56,23,23,23.0,52,50,51.13,830,697,735.53,489,469,478.87,66,48,57.73,3
2026-04-14 08:31:00 to 2026-04-14 09:01:00,21,46,493,367,55,21,21,21.0,46,46,46.0,493,485,489.0,367,367,367.0,55,50,52.5,5
2026-04-15 15:32:00 to 2026-04-15 16:02:00,19,36,491,680,40,19,19,19.0,36,36,36.0,491,482,488.0,688,680,684.0,41,32,37.67,4
2026-04-16 23:48:00 to 2026-04-17 00:18:00,21,38,624,497,61,21,20,20.16,41,38,38.79,650,441,523.16,506,486,497.21,78,58,67.53,4
2026-04-17 07:43:00 to 2026-04-17 08:13:00,20,40,804,481,43,20,20,20.0,41,39,40.14,804,638,707.79,495,476,485.86,52,33,39.79,3
2026-04-17 15:01:00 to 2026-04-17 15:31:00,22,42,776,519,33,23,22,22.23,42,34,37.0,830,457,585.19,531,511,519.74,50,30,40.48,3
2026-04-18 19:33:00 to 2026-04-18 20:03:00,22,57,550,280,61,22,22,22.0,57,57,57.0,550,525,535.0,292,280,288.5,67,52,59.0,3
2026-04-20 06:31:00 to 2026-04-20 07:01:00,24,58,746,350,64,24,24,24.0,58,58,58.0,746,731,738.5,353,350,351.5,64,59,61.5,4
2026-04-21 10:10:00 to 2026-04-21 10:40:00,22,31,977,343,42,23,21,21.42,42,31,35.9,1136,626,833.87,363,343,351.19,58,38,47.03,3
2026-04-21 13:36:00 to 2026-04-21 14:06:00,23,55,517,414,65,23,23,23.0,56,55,55.14,531,475,500.43,419,408,413.57,78,64,69.29,4
2026-04-23 17:43:00 to 2026-04-23 18:13:00,21,55,647,530,61,21,20,20.07,56,53,54.71,721,576,633.14,530,511,521.07,62,48,55.93,3
2026-04-25 02:56:00 to 2026-04-25 03:26:00,21,60,983,453,57,22,21,21.15,62,56,58.81,1159,796,914.59,459,440,447.48,58,38,48.7,4
