room,sensor,raw_rows,valid_rows,invalid_rows,first_timestamp,last_timestamp
413,co2,130912,130912,0,2013-08-23 23:05:07,2013-08-31 18:23:29
413,humidity,130860,130860,0,2013-08-23 23:05:07,2013-08-31 18:23:29
413,light,130860,130860,0,2013-08-23 23:05:07,2013-08-31 18:23:29
413,temperature,130860,130860,0,2013-08-23 23:05:07,2013-08-31 18:23:29
413,pir,72186,72186,0,2013-08-23 23:05:08,2013-09-01 06:58:54
415,co2,132006,132006,0,2013-08-23 16:24:18,2013-09-01 05:17:54
415,humidity,130893,130893,0,2013-08-23 23:05:07,2013-08-31 18:23:29
415,light,130893,130893,0,2013-08-23 23:05:07,2013-08-31 18:23:29
415,temperature,130892,130892,0,2013-08-23 23:05:07,2013-08-31 18:23:29
415,pir,76131,76131,0,2013-08-23 23:05:28,2013-09-01 06:58:50
417,co2,130896,130896,0,2013-08-23 23:05:15,2013-08-31 18:23:29
417,humidity,130868,130868,0,2013-08-23 23:05:29,2013-08-31 18:23:29
417,light,130868,130868,0,2013-08-23 23:05:29,2013-08-31 18:23:29
417,temperature,130869,130869,0,2013-08-23 23:05:29,2013-08-31 18:23:29
417,pir,71964,71964,0,2013-08-23 23:05:07,2013-09-01 06:58:55
419,co2,130868,130868,0,2013-08-23 23:05:14,2013-09-01 06:06:09
419,humidity,130539,130539,0,2013-08-23 23:05:15,2013-09-01 01:26:46
419,light,130539,130539,0,2013-08-23 23:05:15,2013-09-01 01:26:46
419,temperature,130539,121016,9523,2013-08-23 23:05:15,2013-09-01 01:26:46
419,pir,73033,73033,0,2013-08-23 23:05:11,2013-09-01 06:58:51
421,co2,130899,130899,0,2013-08-23 23:05:19,2013-08-31 18:23:29
421,humidity,130874,130874,0,2013-08-23 23:05:11,2013-09-01 02:39:50
421,light,130874,130874,0,2013-08-23 23:05:11,2013-09-01 02:39:50
421,temperature,130876,130876,0,2013-08-23 23:05:11,2013-09-01 02:39:50
421,pir,71914,71914,0,2013-08-23 23:05:23,2013-09-01 06:58:57
422,co2,130916,130916,0,2013-08-23 23:05:16,2013-09-01 03:36:20
422,humidity,130869,130869,0,2013-08-23 23:05:12,2013-08-31 18:23:29
422,light,130869,130869,0,2013-08-23 23:05:12,2013-08-31 18:23:29
422,temperature,130870,130870,0,2013-08-23 23:05:12,2013-08-31 18:23:29
422,pir,72227,72227,0,2013-08-23 23:05:15,2013-09-01 06:58:55
423,co2,130887,130887,0,2013-08-23 23:05:17,2013-09-01 01:33:15
423,humidity,130888,130888,0,2013-08-23 23:05:11,2013-08-31 18:23:29
423,light,130888,130888,0,2013-08-23 23:05:11,2013-08-31 18:23:29
423,temperature,130888,130888,0,2013-08-23 23:05:11,2013-08-31 18:23:29
423,pir,66998,66998,0,2013-08-24 16:28:00,2013-09-01 06:58:53
424,co2,130852,130852,0,2013-08-23 23:05:20,2013-08-31 18:23:29
424,humidity,130885,130885,0,2013-08-23 23:05:21,2013-08-31 18:23:29
424,light,130885,130885,0,2013-08-23 23:05:21,2013-08-31 18:23:29
424,temperature,130886,130886,0,2013-08-23 23:05:21,2013-08-31 18:23:29
424,pir,72055,72055,0,2013-08-23 22:44:32,2013-09-01 06:58:59
442,co2,130855,130855,0,2013-08-23 23:05:16,2013-08-31 22:48:30
442,humidity,130896,130896,0,2013-08-23 23:05:24,2013-08-31 18:23:29
442,light,130896,130896,0,2013-08-23 23:05:24,2013-08-31 18:23:29
442,temperature,130896,130896,0,2013-08-23 23:05:24,2013-08-31 18:23:29
442,pir,72707,72707,0,2013-08-23 23:05:18,2013-09-01 06:58:55
446,co2,130877,130877,0,2013-08-23 23:05:22,2013-09-01 06:58:01
446,humidity,130886,130886,0,2013-08-23 23:05:11,2013-09-01 03:42:33
446,light,130886,130886,0,2013-08-23 23:05:11,2013-09-01 03:42:33
446,temperature,130886,130883,3,2013-08-23 23:05:11,2013-09-01 03:42:33
446,pir,71941,71941,0,2013-08-23 23:05:23,2013-09-01 06:58:57
448,co2,130848,130848,0,2013-08-23 23:05:14,2013-08-31 18:23:29
448,humidity,130860,130860,0,2013-08-23 23:05:19,2013-08-31 18:23:29
448,light,130860,130860,0,2013-08-23 23:05:19,2013-08-31 18:23:29
448,temperature,130862,130862,0,2013-08-23 23:05:19,2013-08-31 18:23:29
448,pir,71928,71928,0,2013-08-23 23:05:18,2013-09-01 06:58:58
452,co2,130828,130828,0,2013-08-23 23:05:13,2013-08-31 18:23:29
452,humidity,130878,130878,0,2013-08-23 23:05:12,2013-09-01 06:52:49
452,light,130878,130878,0,2013-08-23 23:05:12,2013-09-01 06:52:49
452,temperature,130878,130878,0,2013-08-23 23:05:12,2013-09-01 06:52:49
452,pir,71923,71923,0,2013-08-23 23:05:18,2013-09-01 06:58:53
454,co2,130931,130931,0,2013-08-23 23:05:20,2013-09-01 04:43:11
454,humidity,130866,130866,0,2013-08-23 23:05:12,2013-09-01 00:25:17
454,light,130866,130866,0,2013-08-23 23:05:12,2013-09-01 00:25:17
454,temperature,130868,130868,0,2013-08-23 23:05:12,2013-09-01 00:25:17
454,pir,71896,71896,0,2013-08-23 23:05:11,2013-09-01 06:58:54
456,co2,130884,130884,0,2013-08-23 23:05:12,2013-08-31 18:23:29
456,humidity,130891,130891,0,2013-08-23 23:05:16,2013-09-01 00:38:12
456,light,130891,130891,0,2013-08-23 23:05:16,2013-09-01 00:38:12
456,temperature,130891,130891,0,2013-08-23 23:05:16,2013-09-01 00:38:12
456,pir,72959,72959,0,2013-08-23 23:05:06,2013-09-01 06:58:53
458,co2,130891,130891,0,2013-08-23 23:05:18,2013-08-31 18:23:21
458,humidity,130912,130912,0,2013-08-23 23:05:29,2013-08-31 18:23:29
458,light,130912,130912,0,2013-08-23 23:05:29,2013-08-31 18:23:29
458,temperature,130915,130915,0,2013-08-23 23:05:29,2013-08-31 18:23:29
458,pir,73135,73135,0,2013-08-23 23:04:58,2013-09-01 06:58:52
462,co2,130884,130884,0,2013-08-23 23:04:51,2013-08-31 18:23:39
462,humidity,130894,130894,0,2013-08-23 23:05:06,2013-08-31 18:23:21
462,light,130894,130894,0,2013-08-23 23:05:06,2013-08-31 18:23:21
462,temperature,130894,130894,0,2013-08-23 23:05:06,2013-08-31 18:23:21
462,pir,71935,71935,0,2013-08-23 23:04:51,2013-09-01 06:58:55
510,co2,130897,130897,0,2013-08-23 16:06:46,2013-08-31 18:23:34
510,humidity,130901,130901,0,2013-08-23 23:04:53,2013-08-31 18:23:29
510,light,130901,130901,0,2013-08-23 23:04:53,2013-08-31 18:23:29
510,temperature,130902,130902,0,2013-08-23 23:04:53,2013-08-31 18:23:29
510,pir,73416,73416,0,2013-08-23 23:04:53,2013-09-01 06:58:57
511,co2,46242,46242,0,2013-08-23 23:04:53,2013-08-26 15:18:33
511,humidity,46229,46229,0,2013-08-23 23:04:53,2013-08-26 15:18:32
511,light,46229,46229,0,2013-08-23 23:04:53,2013-08-26 15:18:32
511,temperature,46229,46229,0,2013-08-23 23:04:53,2013-08-26 15:18:32
511,pir,23308,23308,0,2013-08-23 15:00:00,2013-08-26 15:18:36
513,co2,130897,130897,0,2013-08-23 23:05:21,2013-08-31 18:23:35
513,humidity,130827,130827,0,2013-08-23 23:04:53,2013-08-31 18:23:29
513,light,130827,130827,0,2013-08-23 23:04:53,2013-08-31 18:23:29
513,temperature,130827,130826,1,2013-08-23 23:04:53,2013-08-31 18:23:29
513,pir,72485,72485,0,2013-08-23 23:05:14,2013-09-01 06:58:59
552,co2,130892,130892,0,2013-08-23 23:05:01,2013-08-31 18:23:09
552,humidity,130898,130898,0,2013-08-23 23:04:59,2013-08-31 18:23:21
552,light,130898,130898,0,2013-08-23 23:04:59,2013-08-31 18:23:21
552,temperature,130898,130898,0,2013-08-23 23:04:59,2013-08-31 18:23:21
552,pir,74489,74489,0,2013-08-23 23:05:00,2013-09-01 06:58:55
554,co2,130900,130900,0,2013-08-23 23:05:28,2013-08-31 18:23:29
554,humidity,130893,130893,0,2013-08-23 23:05:08,2013-08-31 18:23:29
554,light,130893,130893,0,2013-08-23 23:05:08,2013-08-31 18:23:29
554,temperature,130893,130893,0,2013-08-23 23:05:08,2013-08-31 18:23:29
554,pir,72995,72995,0,2013-08-23 23:04:59,2013-09-01 06:58:50
556,co2,130899,130899,0,2013-08-23 23:05:08,2013-08-31 18:23:29
556,humidity,130857,130857,0,2013-08-23 23:05:00,2013-08-31 18:23:29
556,light,130857,130857,0,2013-08-23 23:05:00,2013-08-31 18:23:29
556,temperature,130858,130858,0,2013-08-23 23:05:00,2013-08-31 18:23:29
556,pir,73628,73628,0,2013-08-23 23:05:08,2013-09-01 06:58:58
558,co2,130875,130875,0,2013-08-23 23:04:59,2013-08-31 18:23:29
558,humidity,130889,130889,0,2013-08-23 23:04:59,2013-08-31 18:23:29
