student_id,timestamp,heart_rate,skin_temp,movement_level,focus_score,emotional_state,ambient_light,ambient_noise,temperature,humidity,board_interaction,learning_material_access,quiz_score,assignment_completion,participation_level,target
1047,2024-09-01 08:00:00,99,36.3,2.07,0.45,stressed,264,59,25.9,38.2,12,12,61,59,5,0
1008,2024-09-01 08:01:00,114,36.3,8.63,0.39,neutral,628,37,29.9,54.8,33,5,13,16,2,0
1068,2024-09-01 08:02:00,87,36.9,6.48,0.63,happy,772,69,21.6,50.7,18,4,91,94,0,1
1004,2024-09-01 08:03:00,113,37.9,4.68,0.84,neutral,621,37,26.6,65.8,19,8,7,61,8,1
1093,2024-09-01 08:04:00,70,37.6,9.47,0.68,happy,648,46,23.3,31.2,2,11,81,88,9,0
1005,2024-09-01 08:05:00,107,36.9,7.36,0.47,happy,226,68,29.9,60.4,18,17,34,97,0,0
1071,2024-09-01 08:06:00,111,36.4,9.32,0.64,stressed,516,64,21.1,54.9,46,7,66,46,9,1
1047,2024-09-01 08:07:00,91,36.3,5.98,0.32,happy,862,59,24.5,54.3,30,19,15,48,8,0
1045,2024-09-01 08:08:00,85,37.4,1.38,0.14,happy,383,30,22.5,65.0,18,5,60,87,9,0
1096,2024-09-01 08:09:00,69,35.7,6.75,0.32,neutral,826,34,20.3,53.6,41,17,69,97,3,0
1078,2024-09-01 08:10:00,82,36.8,2.01,0.44,happy,269,45,29.6,58.6,26,5,36,22,7,1
1072,2024-09-01 08:11:00,107,36.5,3.46,0.44,happy,731,65,25.7,55.8,10,17,88,75,5,0
1062,2024-09-01 08:12:00,104,36.9,5.1,0.74,happy,465,44,27.0,32.8,46,16,60,87,7,0
1002,2024-09-01 08:13:00,98,35.6,1.57,0.94,happy,157,78,26.2,34.5,39,10,64,80,7,0
1030,2024-09-01 08:14:00,92,37.1,0.21,0.39,stressed,787,46,21.5,43.5,10,3,54,68,1,1
1006,2024-09-01 08:15:00,73,36.9,3.27,0.09,happy,994,42,21.7,57.0,16,14,30,73,2,1
1015,2024-09-01 08:16:00,68,35.5,8.24,0.03,happy,597,53,26.3,31.1,33,19,96,60,8,1
1091,2024-09-01 08:17:00,73,36.3,0.15,0.0,stressed,534,72,27.8,60.9,49,16,11,78,1,0
1098,2024-09-01 08:18:00,95,37.0,1.09,0.94,happy,465,77,26.1,38.1,8,11,62,77,3,0
1014,2024-09-01 08:19:00,114,37.7,8.07,1.0,stressed,627,33,25.7,52.4,38,10,21,38,0,0
1006,2024-09-01 08:20:00,100,35.4,3.06,0.05,neutral,846,76,27.5,38.0,41,7,3,79,3,0
1098,2024-09-01 08:21:00,61,35.0,9.38,0.36,happy,323,73,22.4,37.0,22,16,92,22,2,1
1094,2024-09-01 08:22:00,115,35.5,3.8,0.67,stressed,161,75,27.3,43.4,7,4,95,48,3,1
1037,2024-09-01 08:23:00,70,38.0,7.97,0.18,neutral,532,42,24.1,66.9,12,11,21,63,2,0
1007,2024-09-01 08:24:00,111,37.3,2.59,0.59,happy,976,38,26.7,39.5,33,15,58,22,4,0
1055,2024-09-01 08:25:00,73,36.8,0.62,0.81,neutral,700,55,22.7,31.9,41,15,71,15,3,1
1079,2024-09-01 08:26:00,95,35.4,8.82,0.86,happy,968,76,21.4,65.3,16,16,79,32,10,1
1097,2024-09-01 08:27:00,94,36.2,9.27,0.71,stressed,754,45,20.3,47.6,47,9,98,50,8,0
1000,2024-09-01 08:28:00,101,37.1,7.08,0.08,stressed,627,71,28.0,54.8,43,9,44,49,4,1
1018,2024-09-01 08:29:00,111,37.7,7.7,0.35,stressed,308,66,22.0,65.4,37,2,58,79,4,1
1077,2024-09-01 08:30:00,84,36.1,0.07,0.97,stressed,126,72,23.6,60.2,14,10,9,65,1,0
1018,2024-09-01 08:31:00,92,38.0,7.54,0.19,stressed,658,35,27.7,61.9,30,11,19,29,3,0
1086,2024-09-01 08:32:00,68,35.4,4.72,0.45,happy,253,40,24.5,49.2,46,19,34,97,3,1
1003,2024-09-01 08:33:00,72,36.2,4.53,0.33,stressed,555,31,22.2,57.5,47,1,50,34,4,0
1063,2024-09-01 08:34:00,102,37.6,5.4,0.21,happy,524,59,21.9,68.6,2,8,10,58,4,0
1097,2024-09-01 08:35:00,69,36.9,2.71,0.32,happy,460,48,24.1,65.6,44,0,85,26,3,1
1001,2024-09-01 08:36:00,116,37.4,6.96,0.19,happy,750,52,25.7,54.5,49,3,74,35,9,1
1075,2024-09-01 08:37:00,92,37.7,2.96,0.88,happy,190,76,23.9,33.4,34,9,73,29,1,0
1022,2024-09-01 08:38:00,104,36.5,5.59,0.17,happy,620,41,29.0,69.2,35,12,55,53,6,0
1055,2024-09-01 08:39:00,68,35.7,1.37,0.62,happy,281,68,20.0,39.0,4,18,77,35,9,0
1081,2024-09-01 08:40:00,113,37.1,6.75,0.94,stressed,622,35,24.0,44.4,25,2,16,60,1,1
1095,2024-09-01 08:41:00,99,36.7,1.9,0.95,stressed,618,72,27.4,35.6,25,10,60,32,6,0
1050,2024-09-01 08:42:00,72,37.3,1.7,0.6,stressed,639,65,28.9,36.7,23,1,51,64,8,0
1080,2024-09-01 08:43:00,83,36.5,0.24,0.27,happy,161,75,23.6,61.8,5,7,80,96,7,0
1030,2024-09-01 08:44:00,99,37.4,1.22,0.25,happy,775,71,26.7,35.1,6,1,55,1,8,1
1057,2024-09-01 08:45:00,118,37.7,2.33,0.75,happy,726,44,25.8,37.6,27,8,61,11,7,0
1035,2024-09-01 08:46:00,115,37.2,2.22,0.98,happy,172,65,22.0,36.9,44,12,100,78,1,0
1089,2024-09-01 08:47:00,119,37.2,3.28,0.08,neutral,198,42,26.8,44.8,13,13,50,70,8,0
1011,2024-09-01 08:48:00,76,36.8,0.54,0.79,neutral,802,37,22.5,57.8,38,19,39,2,6,0
1034,2024-09-01 08:49:00,92,36.4,9.35,0.12,stressed,406,54,27.8,55.8,20,15,72,6,3,1
1079,2024-09-01 08:50:00,82,37.9,1.19,0.3,stressed,304,53,28.7,59.0,10,10,28,44,9,1
1003,2024-09-01 08:51:00,86,36.9,7.02,0.57,happy,915,60,24.8,59.1,11,15,48,6,6,1
1027,2024-09-01 08:52:00,103,37.5,5.35,0.3,happy,679,69,20.5,30.1,49,10,26,59,8,0
1032,2024-09-01 08:53:00,103,36.5,5.53,0.65,stressed,365,42,27.4,57.4,49,17,47,15,0,1
1073,2024-09-01 08:54:00,116,36.7,1.06,0.42,stressed,477,58,24.7,57.4,33,18,53,60,3,1
1030,2024-09-01 08:55:00,102,37.0,2.43,0.22,stressed,637,61,20.9,32.5,34,18,43,58,8,0
1077,2024-09-01 08:56:00,85,37.2,7.8,0.53,happy,994,72,23.3,47.1,6,12,52,95,9,1
1004,2024-09-01 08:57:00,83,36.3,4.64,0.02,stressed,550,66,22.9,33.1,22,0,91,27,3,0
1009,2024-09-01 08:58:00,70,36.1,4.57,0.74,happy,853,47,27.3,37.6,0,2,58,66,6,0
1024,2024-09-01 08:59:00,88,35.7,5.46,0.52,neutral,756,55,24.2,49.6,19,14,85,35,1,0
1040,2024-09-01 09:00:00,107,36.3,4.34,0.95,happy,980,47,25.9,30.5,31,19,12,47,2,1
1016,2024-09-01 09:01:00,64,35.6,8.06,0.1,stressed,766,63,25.0,33.8,33,3,15,23,7,1
1060,2024-09-01 09:02:00,83,36.3,7.49,0.73,neutral,377,60,27.2,33.4,49,18,43,61,0,1
1083,2024-09-01 09:03:00,68,37.6,3.17,0.3,stressed,719,44,27.2,35.0,19,15,59,21,2,1
1059,2024-09-01 09:04:00,114,37.9,8.12,0.37,neutral,647,66,24.5,32.0,13,9,67,69,7,0
1032,2024-09-01 09:05:00,118,36.7,5.19,0.35,happy,555,49,21.4,54.5,4,3,6,72,5,1
1008,2024-09-01 09:06:00,69,35.4,6.28,0.36,stressed,900,57,24.1,37.1,23,10,77,99,9,0
1049,2024-09-01 09:07:00,70,36.3,8.66,0.43,stressed,573,33,21.6,64.5,20,3,4,75,8,0
1030,2024-09-01 09:08:00,90,36.8,4.76,0.02,stressed,962,37,29.6,65.4,11,2,6,14,4,0
1004,2024-09-01 09:09:00,62,36.1,7.56,0.85,neutral,280,47,29.5,57.6,1,4,73,69,8,1
1045,2024-09-01 09:10:00,84,35.6,6.28,0.88,happy,354,61,24.6,32.6,9,11,17,45,8,0
1092,2024-09-01 09:11:00,112,35.7,4.27,0.04,stressed,448,52,20.3,65.7,12,18,66,56,9,0
1003,2024-09-01 09:12:00,102,36.4,7.89,0.78,neutral,768,44,23.7,46.7,30,7,12,14,7,0
1030,2024-09-01 09:13:00,99,35.6,1.05,0.07,neutral,456,73,29.0,37.2,45,2,76,75,9,0
1003,2024-09-01 09:14:00,86,35.7,5.81,0.81,stressed,222,36,22.9,61.2,23,9,48,13,0,0
1017,2024-09-01 09:15:00,60,37.6,0.46,0.61,happy,413,77,26.2,43.9,25,18,27,65,7,0
1081,2024-09-01 09:16:00,108,37.3,1.56,0.31,neutral,370,60,21.8,50.2,32,0,15,81,7,0
1033,2024-09-01 09:17:00,107,35.2,5.99,0.61,neutral,281,61,28.3,59.7,40,14,82,61,9,0
1047,2024-09-01 09:18:00,75,36.0,3.08,0.51,stressed,854,69,28.9,34.0,23,14,23,26,9,1
1062,2024-09-01 09:19:00,94,36.6,2.62,0.64,stressed,801,43,26.2,36.8,0,10,52,43,2,1
1013,2024-09-01 09:20:00,74,35.2,9.56,0.48,stressed,156,48,26.2,68.7,8,3,40,80,8,1
1089,2024-09-01 09:21:00,93,37.0,3.66,0.77,stressed,739,79,23.8,58.5,30,2,16,43,7,1
1086,2024-09-01 09:22:00,112,36.2,5.65,0.05,neutral,178,69,27.1,39.2,23,16,58,24,9,1
1032,2024-09-01 09:23:00,70,36.2,5.34,0.34,neutral,682,45,24.8,53.0,42,16,90,42,6,0
1080,2024-09-01 09:24:00,68,35.8,0.62,0.56,neutral,157,38,27.5,37.5,25,10,17,69,1,0
1041,2024-09-01 09:25:00,116,36.0,6.74,0.59,neutral,532,30,29.7,64.6,38,3,7,61,0,0
1031,2024-09-01 09:26:00,83,37.6,5.13,0.17,neutral,605,54,28.2,47.9,21,4,33,61,4,1
1098,2024-09-01 09:27:00,96,37.4,3.81,0.07,stressed,896,37,25.2,62.3,32,17,63,99,0,0
1042,2024-09-01 09:28:00,94,37.8,0.66,0.02,neutral,516,68,29.8,68.9,31,2,88,24,3,1
1056,2024-09-01 09:29:00,81,37.1,2.93,0.41,happy,657,61,26.1,69.2,32,0,47,100,3,1
1093,2024-09-01 09:30:00,99,36.7,8.84,0.33,stressed,854,37,20.6,35.5,8,19,69,15,1,1
1014,2024-09-01 09:31:00,97,35.8,1.74,0.57,stressed,665,42,27.3,67.8,14,7,89,7,3,0
1049,2024-09-01 09:32:00,66,37.0,2.19,0.45,stressed,819,32,28.2,40.8,21,11,40,27,0,0
1070,2024-09-01 09:33:00,103,37.7,2.05,0.39,happy,965,31,21.3,44.4,15,11,17,70,1,0
1062,2024-09-01 09:34:00,89,35.2,8.91,0.84,neutral,184,74,26.8,32.5,34,18,72,91,7,1
1069,2024-09-01 09:35:00,119,36.3,7.0,0.62,neutral,618,57,29.2,55.8,24,13,28,94,3,0
1008,2024-09-01 09:36:00,88,35.4,8.82,0.65,stressed,591,33,22.5,55.8,34,16,98,57,3,0
1012,2024-09-01 09:37:00,114,37.4,9.14,0.38,happy,384,52,25.9,61.1,24,19,35,29,7,1
1017,2024-09-01 09:38:00,98,36.8,9.28,0.78,stressed,748,63,22.7,67.9,45,9,26,2,8,1
1034,2024-09-01 09:39:00,100,37.6,4.86,0.15,neutral,148,36,27.7,47.1,36,7,63,44,7,1
1000,2024-09-01 09:40:00,68,35.2,4.76,0.4,stressed,938,59,25.8,46.3,48,14,6,58,0,1
1087,2024-09-01 09:41:00,60,37.7,8.29,0.05,happy,945,38,24.3,55.6,9,18,49,68,10,1
1035,2024-09-01 09:42:00,62,35.2,3.32,0.12,neutral,449,48,20.3,56.7,15,3,25,98,7,0
1079,2024-09-01 09:43:00,64,35.9,0.22,0.08,stressed,955,38,29.4,47.8,17,14,7,55,8,0
1081,2024-09-01 09:44:00,70,35.5,3.32,0.44,happy,534,52,25.0,66.8,44,4,36,3,3,1
1066,2024-09-01 09:45:00,63,35.4,7.16,0.7,happy,581,40,28.0,32.1,49,14,17,24,7,1
1045,2024-09-01 09:46:00,103,35.5,1.24,0.31,happy,410,42,23.9,60.3,28,0,43,72,9,1
1036,2024-09-01 09:47:00,92,36.4,7.85,0.03,happy,479,58,28.5,38.3,16,18,28,46,4,0
1071,2024-09-01 09:48:00,92,37.4,8.15,0.71,neutral,804,60,21.6,49.8,3,12,52,40,0,1
1081,2024-09-01 09:49:00,104,37.7,1.01,0.21,happy,581,37,22.3,64.1,3,16,89,96,6,1
1028,2024-09-01 09:50:00,79,36.7,0.98,0.72,stressed,695,75,23.3,43.2,14,18,28,4,1,1
1090,2024-09-01 09:51:00,96,35.5,1.99,0.01,happy,194,48,20.9,66.0,3,12,36,38,4,0
1043,2024-09-01 09:52:00,79,35.2,3.56,0.31,neutral,626,34,24.4,48.0,12,5,85,69,0,0
1092,2024-09-01 09:53:00,93,36.5,5.33,0.62,neutral,790,77,24.9,58.1,49,7,15,71,4,0
1067,2024-09-01 09:54:00,80,37.3,4.86,0.87,stressed,133,56,21.1,58.9,5,3,2,26,10,0
1075,2024-09-01 09:55:00,117,36.9,8.53,0.75,stressed,680,68,24.3,40.4,4,12,100,98,5,0
1076,2024-09-01 09:56:00,110,36.7,1.42,0.45,stressed,857,43,22.0,66.0,32,16,22,23,8,1
1013,2024-09-01 09:57:00,66,35.1,6.98,0.72,stressed,313,51,28.8,35.0,5,13,55,50,9,1
1077,2024-09-01 09:58:00,75,36.2,5.49,0.54,happy,111,51,25.1,53.6,33,1,11,98,2,0
1050,2024-09-01 09:59:00,91,36.7,7.37,0.81,happy,784,34,29.5,67.2,4,15,32,26,2,1
1073,2024-09-01 10:00:00,95,36.8,3.42,0.77,happy,770,45,23.4,31.2,47,19,34,39,0,1
1085,2024-09-01 10:01:00,109,35.0,4.71,0.98,stressed,921,68,23.4,51.3,35,11,40,95,5,0
1008,2024-09-01 10:02:00,70,35.6,0.29,0.1,stressed,832,55,23.4,39.9,12,9,13,14,10,1
1087,2024-09-01 10:03:00,115,37.8,1.16,0.34,stressed,249,45,22.7,37.7,27,3,48,45,3,1
1080,2024-09-01 10:04:00,107,36.5,3.75,0.19,happy,339,41,27.8,39.4,6,4,87,71,1,0
1087,2024-09-01 10:05:00,88,37.1,4.81,0.63,happy,171,45,22.8,66.1,8,16,49,30,3,0
1068,2024-09-01 10:06:00,101,35.9,0.86,0.66,stressed,291,78,22.9,47.0,25,19,25,71,8,0
1033,2024-09-01 10:07:00,93,36.8,8.25,0.2,stressed,927,69,20.5,39.4,32,7,73,38,2,0
1064,2024-09-01 10:08:00,118,36.1,9.46,0.42,happy,328,41,29.7,67.1,22,17,43,93,7,1
1026,2024-09-01 10:09:00,114,35.9,5.96,0.6,stressed,383,61,28.9,42.9,36,7,68,87,4,0
1039,2024-09-01 10:10:00,115,36.2,0.53,0.66,happy,558,34,22.9,58.9,25,7,22,37,4,0
1007,2024-09-01 10:11:00,69,36.4,7.39,0.1,happy,430,65,25.2,51.5,10,14,17,1,10,1
