timePeriod,currentTemperature,currentHumidity,currentCO2,currentLight,currentNoise,maxTemp,minTemp,meanTemp,maxHumidity,minHumidity,meanHumidity,maxCO2,minCO2,meanCO2,maxLight,minLight,meanLight,maxNoise,minNoise,meanNoise,rating
2026-04-01 09:22:00 to 2026-04-01 09:52:00,23,47,1310,557,56,25,22,23.52,49,36,42.77,1477,842,1074.81,572,552,560.26,73,54,63.48,3
2026-04-02 12:57:00 to 2026-04-02 13:27:00,19,36,826,218,50,19,18,18.25,41,36,37.79,826,491,626.46,234,216,223.57,62,42,50.5,3
2026-04-02 14:58:00 to 2026-04-02 15:28:00,26,62,774,466,57,27,26,26.1,64,58,59.97,774,435,558.21,470,451,460.38,62,43,52.48,1
2026-04-03 21:38:00 to 2026-04-03 22:08:00,25,54,813,652,56,25,25,25.0,55,54,54.22,813,734,768.44,665,648,657.22,57,41,48.56,1
2026-04-05 22:40:00 to 2026-04-05 23:10:00,23,43,676,468,51,23,23,23.0,45,43,44.36,720,643,683.55,488,468,478.27,69,51,61.45,3
2026-04-07 04:46:00 to 2026-04-07 05:16:00,19,58,940,653,57,19,18,18.06,61,58,59.35,940,768,833.71,672,652,660.18,69,49,57.76,1
2026-04-07 14:37:00 to 2026-04-07 15:07:00,19,43,663,415,42,19,19,19.0,45,43,44.12,708,642,661.62,433,415,423.5,56,40,47.5,4
2026-04-07 18:20:00 to 2026-04-07 18:50:00,24,34,722,509,51,24,21,22.55,45,34,39.19,1116,491,723.87,517,498,508.03,70,50,60.1,5
2026-04-08 04:49:00 to 2026-04-08 05:19:00,26,61,622,682,46,26,25,25.05,62,59,60.45,792,569,659.9,697,679,687.8,50,34,39.85,4
2026-04-09 10:27:00 to 2026-04-09 10:57:00,22,63,1005,478,41,25,21,22.71,63,48,55.13,1394,839,1059.42,491,471,482.97,47,28,37.52,2
2026-04-09 19:36:00 to 2026-04-09 20:06:00,18,49,655,264,53,22,18,20.32,49,32,40.34,1379,608,889.68,280,259,268.89,62,34,46.47,4
2026-04-09 19:51:00 to 2026-04-09 20:21:00,18,53,818,263,54,23,18,19.66,53,32,43.77,1602,626,958.62,281,258,268.47,66,34,49.55,1
2026-04-09 23:00:00 to 2026-04-09 23:30:00,23,49,693,505,32,25,20,22.16,70,49,61.16,1735,685,1157.23,506,486,496.39,49,31,41.16,4
